"","uid","ext_int","spec_glob","valence","block"
"196","subCA1_25",57,68,"pos","block1"
"197","subCA1_25",34,38,"neg","block2"
"198","subCA1_25",76,76,"pos","block2"
"199","subCA1_25",34,29,"neg","block3"
"200","subCA1_25",74,72,"pos","block3"
"201","subCA1_26",40,16,"neg","block0"
"202","subCA1_26",39,7,"pos","block0"
"203","subCA1_26",45,26,"neg","block1"
"204","subCA1_26",48,5,"pos","block1"
"205","subCA1_26",28,48,"neg","block2"
"206","subCA1_26",47,29,"pos","block2"
"207","subCA1_26",22,11,"neg","block3"
"208","subCA1_26",78,19,"pos","block3"
"209","subCA1_27",15,74,"neg","block0"
"210","subCA1_27",31,30,"pos","block0"
"211","subCA1_27",18,22,"neg","block1"
"212","subCA1_27",80,83,"pos","block1"
"213","subCA1_27",31,36,"neg","block2"
"214","subCA1_27",72,67,"pos","block2"
"215","subCA1_27",15,18,"neg","block3"
"216","subCA1_27",97,90,"pos","block3"
"217","subCA1_28",17,29,"neg","block0"
"218","subCA1_28",82,25,"pos","block0"
"219","subCA1_28",8,15,"neg","block1"
"220","subCA1_28",100,69,"pos","block1"
"221","subCA1_28",15,17,"neg","block2"
"222","subCA1_28",84,44,"pos","block2"
"223","subCA1_28",16,14,"neg","block3"
"224","subCA1_28",93,50,"pos","block3"
"225","subCA1_29",38,37,"neg","block0"
"226","subCA1_29",56,37,"pos","block0"
"227","subCA1_29",43,28,"neg","block1"
"228","subCA1_29",63,68,"pos","block1"
"229","subCA1_29",41,35,"neg","block2"
"230","subCA1_29",57,58,"pos","block2"
"231","subCA1_29",44,39,"neg","block3"
"232","subCA1_29",53,57,"pos","block3"
"233","subCA1_30",69,66,"neg","block0"
"234","subCA1_30",65,62,"pos","block0"
"235","subCA1_30",38,70,"neg","block1"
"236","subCA1_30",81,80,"pos","block1"
"237","subCA1_30",35,63,"neg","block2"
"238","subCA1_30",85,73,"pos","block2"
"239","subCA1_30",29,45,"neg","block3"
"240","subCA1_30",86,72,"pos","block3"
"241","subCA1_31",21,77,"neg","block0"
"242","subCA1_31",100,17,"pos","block0"
"243","subCA1_31",9,33,"neg","block1"
"244","subCA1_31",77,56,"pos","block1"
"245","subCA1_31",37,42,"neg","block2"
"246","subCA1_31",74,24,"pos","block2"
"247","subCA1_31",21,49,"neg","block3"
"248","subCA1_31",93,39,"pos","block3"
"249","subCA1_32",1,0,"neg","block0"
"250","subCA1_32",42,24,"pos","block0"
"251","subCA1_32",79,7,"neg","block1"
"252","subCA1_32",85,75,"pos","block1"
"253","subCA1_32",0,0,"neg","block2"
"254","subCA1_32",100,100,"pos","block2"
"255","subCA1_32",0,30,"neg","block3"
"256","subCA1_32",100,100,"pos","block3"
"257","subCA1_33",25,21,"neg","block0"
"258","subCA1_33",39,55,"pos","block0"
"259","subCA1_33",33,56,"neg","block1"
"260","subCA1_33",56,54,"pos","block1"
"261","subCA1_33",0,31,"neg","block2"
"262","subCA1_33",97,57,"pos","block2"
"263","subCA1_33",3,40,"neg","block3"
"264","subCA1_33",92,54,"pos","block3"
"265","subCA1_34",72,23,"neg","block0"
"266","subCA1_34",77,79,"pos","block0"
"267","subCA1_34",71,58,"neg","block1"
"268","subCA1_34",78,81,"pos","block1"
"269","subCA1_34",69,66,"neg","block2"
"270","subCA1_34",85,85,"pos","block2"
"271","subCA1_34",81,73,"neg","block3"
"272","subCA1_34",90,90,"pos","block3"
"273","subCA1_35",93,23,"neg","block0"
"274","subCA1_35",33,67,"pos","block0"
"275","subCA1_35",45,60,"neg","block1"
"276","subCA1_35",59,64,"pos","block1"
"277","subCA1_35",42,35,"neg","block2"
"278","subCA1_35",71,64,"pos","block2"
"279","subCA1_35",54,59,"neg","block3"
"280","subCA1_35",62,60,"pos","block3"
"281","subCA1_36",67,27,"neg","block0"
"282","subCA1_36",37,32,"pos","block0"
"283","subCA1_36",4,6,"neg","block1"
"284","subCA1_36",90,95,"pos","block1"
"285","subCA1_36",4,4,"neg","block2"
"286","subCA1_36",52,88,"pos","block2"
"287","subCA1_36",49,7,"neg","block3"
"288","subCA1_36",31,88,"pos","block3"
"289","subCA1_37",88,6,"neg","block0"
"290","subCA1_37",95,5,"pos","block0"
"291","subCA1_37",4,4,"neg","block1"
"292","subCA1_37",98,97,"pos","block1"
"293","subCA1_37",0,87,"neg","block2"
"294","subCA1_37",100,100,"pos","block2"
"295","subCA1_37",5,3,"neg","block3"
"296","subCA1_37",100,0,"pos","block3"
"297","subCA1_38",0,22,"neg","block0"
"298","subCA1_38",100,45,"pos","block0"
"299","subCA1_38",28,9,"neg","block1"
"300","subCA1_38",84,100,"pos","block1"
"301","subCA1_38",13,13,"neg","block2"
"302","subCA1_38",100,90,"pos","block2"
"303","subCA1_38",0,0,"neg","block3"
"304","subCA1_38",55,59,"pos","block3"
"305","subCA1_39",6,0,"neg","block0"
"306","subCA1_39",50,92,"pos","block0"
"307","subCA1_39",100,0,"neg","block1"
"308","subCA1_39",83,8,"pos","block1"
"309","subCA1_39",22,6,"neg","block2"
"310","subCA1_39",50,12,"pos","block2"
"311","subCA1_39",8,0,"neg","block3"
"312","subCA1_39",83,20,"pos","block3"
"313","subCA1_40",92,7,"neg","block0"
"314","subCA1_40",33,16,"pos","block0"
"315","subCA1_40",10,0,"neg","block1"
"316","subCA1_40",90,90,"pos","block1"
"317","subCA1_40",14,14,"neg","block2"
"318","subCA1_40",91,100,"pos","block2"
"319","subCA1_40",3,0,"neg","block3"
"320","subCA1_40",99,100,"pos","block3"
"321","subCA1_41",17,3,"neg","block0"
"322","subCA1_41",33,16,"pos","block0"
"323","subCA1_41",78,87,"neg","block1"
"324","subCA1_41",77,8,"pos","block1"
"325","subCA1_41",94,89,"neg","block2"
"326","subCA1_41",34,19,"pos","block2"
"327","subCA1_41",97,85,"neg","block3"
"328","subCA1_41",28,13,"pos","block3"
"329","subCA1_42",78,16,"neg","block0"
"330","subCA1_42",92,5,"pos","block0"
"331","subCA1_42",82,16,"neg","block1"
"332","subCA1_42",92,5,"pos","block1"
"333","subCA1_42",85,9,"neg","block2"
"334","subCA1_42",95,5,"pos","block2"
"335","subCA1_42",79,4,"neg","block3"
"336","subCA1_42",92,6,"pos","block3"
"337","subCA1_43",63,77,"neg","block0"
"338","subCA1_43",38,47,"pos","block0"
"339","subCA1_43",67,68,"neg","block1"
"340","subCA1_43",66,33,"pos","block1"
"341","subCA1_43",19,18,"neg","block2"
"342","subCA1_43",89,79,"pos","block2"
"343","subCA1_43",37,39,"neg","block3"
"344","subCA1_43",70,65,"pos","block3"
"345","subCA1_44",18,0,"neg","block0"
"346","subCA1_44",100,10,"pos","block0"
"347","subCA1_44",45,54,"neg","block1"
"348","subCA1_44",100,100,"pos","block1"
"349","subCA1_44",52,19,"neg","block2"
"350","subCA1_44",48,59,"pos","block2"
"351","subCA1_44",0,8,"neg","block3"
"352","subCA1_44",99,89,"pos","block3"
"353","subCA1_45",6,0,"neg","block0"
"354","subCA1_45",45,41,"pos","block0"
"355","subCA1_45",38,42,"neg","block1"
"356","subCA1_45",77,76,"pos","block1"
"357","subCA1_45",12,14,"neg","block2"
"358","subCA1_45",67,76,"pos","block2"
"359","subCA1_45",6,5,"neg","block3"
"360","subCA1_45",95,89,"pos","block3"
"361","subCA1_46",8,35,"neg","block0"
"362","subCA1_46",60,30,"pos","block0"
"363","subCA1_46",20,26,"neg","block1"
"364","subCA1_46",46,78,"pos","block1"
"365","subCA1_46",16,30,"neg","block2"
"366","subCA1_46",50,50,"pos","block2"
"367","subCA1_46",11,21,"neg","block3"
"368","subCA1_46",77,69,"pos","block3"
"369","subCA1_47",89,69,"neg","block0"
"370","subCA1_47",41,57,"pos","block0"
"371","subCA1_47",74,42,"neg","block1"
"372","subCA1_47",54,66,"pos","block1"
"373","subCA1_47",37,58,"neg","block2"
"374","subCA1_47",58,65,"pos","block2"
